# S1 S2 MSE
1.20 0.10 0.42505
1.20 0.20 0.37347
1.20 0.30 0.33398
1.20 0.40 0.21540
1.20 0.50 0.21143
1.20 0.60 0.17554
1.20 0.70 0.17120
1.20 0.80 0.13462
1.20 0.90 0.21840
1.20 1.00 0.08593
1.20 1.10 0.01094
1.20 1.20 0.00000
1.20 1.30 0.00485
1.20 1.40 0.01214
1.20 1.50 0.02088
1.20 1.60 0.02858
1.20 1.70 0.03321
1.20 1.80 0.03111
1.20 1.90 0.03637
1.20 2.00 0.03594
1.20 2.10 0.03260
1.20 2.20 0.05756
1.20 2.30 0.04007
1.20 2.40 0.04381
1.20 2.50 0.03587
1.20 2.60 0.05005
1.20 2.70 0.04685
1.20 2.80 0.07541
1.20 2.90 0.08271
1.20 3.00 0.03963

1.30 0.00 0.73024
1.30 0.10 0.47206
1.30 0.20 0.42443
1.30 0.30 0.33790
1.30 0.40 0.29677
1.30 0.50 0.24347
1.30 0.60 0.18615
1.30 0.70 0.18136
1.30 0.80 0.19373
1.30 0.90 0.18027
1.30 1.00 0.25014
1.30 1.10 0.04138
1.30 1.20 0.00661
1.30 1.30 0.00000
1.30 1.40 0.00366
1.30 1.50 0.00818
1.30 1.60 0.01421
1.30 1.70 0.01697
1.30 1.80 0.03179
1.30 1.90 0.03109
1.30 2.00 0.02807
1.30 2.10 0.03786
1.30 2.20 0.04783
1.30 2.30 0.02671
1.30 2.40 0.03788
1.30 2.50 0.03869
1.30 2.60 0.03262
1.30 2.70 0.02226
1.30 2.80 0.03756
1.30 2.90 0.03369
1.30 3.00 0.05652

1.40 0.00 0.70324
1.40 0.10 0.59495
1.40 0.20 0.48084
1.40 0.30 0.38246
1.40 0.40 0.29611
1.40 0.50 0.25918
1.40 0.60 0.21592
1.40 0.70 0.24245
1.40 0.80 0.21971
1.40 0.90 0.24427
1.40 1.00 0.22922
1.40 1.10 0.13713
1.40 1.20 0.02772
1.40 1.30 0.00512
1.40 1.40 0.00000
1.40 1.50 0.00220
1.40 1.60 0.00685
1.40 1.70 0.01477
1.40 1.80 0.01832
1.40 1.90 0.01953
1.40 2.00 0.02141
1.40 2.10 0.03026
1.40 2.20 0.03833
1.40 2.30 0.02111
1.40 2.40 0.01784
1.40 2.50 0.01155
1.40 2.60 0.01879
1.40 2.70 0.05046
1.40 2.80 0.02006
1.40 2.90 0.06250
1.40 3.00 0.04100

1.50 0.00 0.92279
1.50 0.10 0.60513
1.50 0.20 0.50094
1.50 0.30 0.35520
1.50 0.40 0.36289
1.50 0.50 0.29399
1.50 0.60 0.24905
1.50 0.70 0.22902
1.50 0.80 0.22601
1.50 0.90 0.26971
1.50 1.00 0.30733
1.50 1.10 0.20492
1.50 1.20 0.06187
1.50 1.30 0.01973
1.50 1.40 0.00352
1.50 1.50 0.00000
1.50 1.60 0.00218
1.50 1.70 0.00682
1.50 1.80 0.00795
1.50 1.90 0.01323
1.50 2.00 0.01832
1.50 2.10 0.01717
1.50 2.20 0.02297
1.50 2.30 0.02849
1.50 2.40 0.01435
1.50 2.50 0.01696
1.50 2.60 0.01717
1.50 2.70 0.07383
1.50 2.80 0.01528
1.50 2.90 0.03504
1.50 3.00 0.04978

1.60 0.00 0.92713
1.60 0.10 0.68522
1.60 0.20 0.45719
1.60 0.30 0.43518
1.60 0.40 0.39150
1.60 0.50 0.29629
1.60 0.60 0.29177
1.60 0.70 0.18836
1.60 0.80 0.24431
1.60 0.90 0.30127
1.60 1.00 0.32087
1.60 1.10 0.29694
1.60 1.20 0.10293
1.60 1.30 0.04522
1.60 1.40 0.01169
1.60 1.50 0.00276
1.60 1.60 0.00000
1.60 1.70 0.00177
1.60 1.80 0.00397
1.60 1.90 0.00929
1.60 2.00 0.01024
