#S1         S2       STVMSE
1.5   2.9   0.028667
1.5   3   0.0288755

1.6   0   0.816027
1.6   0.1   0.675954
1.6   0.2   0.555662
1.6   0.3   0.454965
1.6   0.4   0.373564
1.6   0.5   0.310975
1.6   0.6   0.266376
1.6   0.7   0.238301
1.6   0.8   0.223934
1.6   0.9   0.217414
1.6   1   0.205884
1.6   1.1   0.165375
1.6   1.2   0.0915801
1.6   1.3   0.0375018
1.6   1.4   0.0126747
1.6   1.5   0.00254671
1.6   1.6   0
1.6   1.7   0.00154232
1.6   1.8   0.00463941
1.6   1.9   0.00805111
1.6   2   0.0112605
1.6   2.1   0.014069
1.6   2.2   0.0164244
1.6   2.3   0.0183428
1.6   2.4   0.0198701
1.6   2.5   0.0210627
1.6   2.6   0.0219781
1.6   2.7   0.0226692
1.6   2.8   0.0231831
1.6   2.9   0.0235592
1.6   3   0.0238306

1.7   0   0.848691
1.7   0.1   0.706636
1.7   0.2   0.584369
1.7   0.3   0.481709
1.7   0.4   0.398372
1.7   0.5   0.333902
1.7   0.6   0.287542
1.7   0.7   0.257961
1.7   0.8   0.24267
1.7   0.9   0.236636
1.7   1   0.229012
1.7   1.1   0.198072
1.7   1.2   0.127228
1.7   1.3   0.060263
1.7   1.4   0.0253921
1.7   1.5   0.0089578
1.7   1.6   0.00184931
1.7   1.7   0
1.7   1.8   0.00116959
1.7   1.9   0.00358164
1.7   2   0.00629878
1.7   2.1   0.00889996
1.7   2.2   0.0112072
1.7   2.3   0.0131637
1.7   2.4   0.014772
1.7   2.5   0.0160626
1.7   2.6   0.0170775
1.7   2.7   0.0178615
1.7   2.8   0.0184571
1.7   2.9   0.0189026
1.7   3   0.0192306

1.8   0   0.876747
1.8   0.1   0.733088
1.8   0.2   0.609221
1.8   0.3   0.504971
1.8   0.4   0.420066
1.8   0.5   0.354071
1.8   0.6   0.306276
1.8   0.7   0.275452
1.8   0.8   0.259345
1.8   0.9   0.253499
1.8   1   0.248494
1.8   1.1   0.224897
1.8   1.2   0.160286
1.8   1.3   0.0845168
1.8   1.4   0.0400522
1.8   1.5   0.0176746
1.8   1.6   0.00643016
1.8   1.7   0.00135389
1.8   1.8   3.16463e-09
1.8   1.9   0.000885352
1.8   2   0.00275094
1.8   2.1   0.00489076
1.8   2.2   0.00696774
1.8   2.3   0.00883014
1.8   2.4   0.0104232
1.8   2.5   0.0117418
1.8   2.6   0.0128061
1.8   2.7   0.0136471
1.8   2.8   0.0142996
1.8   2.9   0.0147972
1.8   3   0.0151707

1.9   0   0.90056
1.9   0.1   0.755613
1.9   0.2   0.630461
1.9   0.3   0.524935
1.9   0.4   0.43877
1.9   0.5   0.37155
1.9   0.6   0.322599
1.9   0.7   0.290765
1.9   0.8   0.273966
1.9   0.9   0.268161
1.9   1   0.264951
1.9   1.1   0.246829
