# S1 S2 MSE_normalized
# Original MSE range: min=7.31772e-02, max=1.29563e+00
2.20 0.70 0.36840
2.20 0.80 0.25710
2.20 0.90 0.27120
2.20 1.00 0.38404
2.20 1.10 0.31334
2.20 1.20 0.40411
2.20 1.30 0.23533
2.20 1.40 0.10900
2.20 1.50 0.09900
2.20 1.60 0.04971
2.20 1.70 0.04574
2.20 1.80 0.02546
2.20 1.90 0.02867
2.20 2.00 0.01908
2.20 2.10 0.02304
2.20 2.20 0.02136
2.20 2.30 0.02673
2.20 2.40 0.01984
2.20 2.50 0.01801
2.20 2.60 0.01245
2.20 2.70 0.02724
2.20 2.80 0.03234
2.20 2.90 0.00571
2.20 3.00 0.04596

2.30 0.00 0.84564
2.30 0.10 0.72215
2.30 0.20 0.56822
2.30 0.30 0.36678
2.30 0.40 0.47053
2.30 0.50 0.30706
2.30 0.60 0.31668
2.30 0.70 0.31343
2.30 0.80 0.26034
2.30 0.90 0.29825
2.30 1.00 0.43794
2.30 1.10 0.42465
2.30 1.20 0.32451
2.30 1.30 0.28521
2.30 1.40 0.12194
2.30 1.50 0.07185
2.30 1.60 0.03940
2.30 1.70 0.04815
2.30 1.80 0.03220
2.30 1.90 0.02231
2.30 2.00 0.01239
2.30 2.10 0.04201
2.30 2.20 0.01554
2.30 2.30 0.05968
2.30 2.40 0.02902
2.30 2.50 0.05782
2.30 2.60 0.03219
2.30 2.70 0.00797
2.30 2.80 0.04293
2.30 2.90 0.03814
2.30 3.00 0.04146

2.40 0.00 0.76808
2.40 0.10 0.51192
2.40 0.20 0.51709
2.40 0.30 0.31751
2.40 0.40 0.52189
2.40 0.50 0.43553
2.40 0.60 0.37239
2.40 0.70 0.28730
2.40 0.80 0.37191
2.40 0.90 0.26963
2.40 1.00 0.36518
2.40 1.10 0.28603
2.40 1.20 0.33040
2.40 1.30 0.20673
2.40 1.40 0.19932
2.40 1.50 0.07839
2.40 1.60 0.08313
2.40 1.70 0.05265
2.40 1.80 0.05132
2.40 1.90 0.02603
2.40 2.00 0.04213
2.40 2.10 0.01343
2.40 2.20 0.03343
2.40 2.30 0.05060
2.40 2.40 0.03039
2.40 2.50 0.00405
2.40 2.60 0.01330
2.40 2.70 0.01794
2.40 2.80 0.02226
2.40 2.90 0.02018
2.40 3.00 0.01718

2.50 0.00 0.67931
2.50 0.10 0.67962
2.50 0.20 0.68907
2.50 0.30 0.58699
2.50 0.40 0.49259
2.50 0.50 0.51811
2.50 0.60 0.40588
2.50 0.70 0.34528
2.50 0.80 0.18579
2.50 0.90 0.32687
2.50 1.00 0.35161
2.50 1.10 0.34551
2.50 1.20 0.29590
2.50 1.30 0.28806
2.50 1.40 0.13308
2.50 1.50 0.07030
2.50 1.60 0.08770
2.50 1.70 0.10256
2.50 1.80 0.02300
2.50 1.90 0.03998
2.50 2.00 0.02371
2.50 2.10 0.03187
2.50 2.20 0.03702
2.50 2.30 0.00854
2.50 2.40 0.01949
2.50 2.50 0.06718
2.50 2.60 0.02986
2.50 2.70 0.01903
2.50 2.80 0.05082
2.50 2.90 0.01402
2.50 3.00 0.01637

2.60 0.00 0.65358
2.60 0.10 0.76593
2.60 0.20 0.57813
2.60 0.30 0.44307
2.60 0.40 0.38813
2.60 0.50 0.37303
2.60 0.60 0.55213
2.60 0.70 0.27343
2.60 0.80 0.35881
2.60 0.90 0.23527
