# S1 S2 MSE
1.80 2.40 0.09026
1.80 2.50 0.13502
1.80 2.60 0.11392
1.80 2.70 0.10548
1.80 2.80 0.13074
1.80 2.90 0.12450
1.80 3.00 0.08999

1.90 0.00 1.14049
1.90 0.10 0.78681
1.90 0.20 0.79365
1.90 0.30 0.60997
1.90 0.40 0.39974
1.90 0.50 0.45334
1.90 0.60 0.40284
1.90 0.70 0.32530
1.90 0.80 0.44337
1.90 0.90 0.36399
1.90 1.00 0.43531
1.90 1.10 0.36857
1.90 1.20 0.28705
1.90 1.30 0.25019
1.90 1.40 0.20190
1.90 1.50 0.13543
1.90 1.60 0.12054
1.90 1.70 0.08879
1.90 1.80 0.12031
1.90 1.90 0.11070
1.90 2.00 0.13849
1.90 2.10 0.10018
1.90 2.20 0.10005
1.90 2.30 0.11486
1.90 2.40 0.09202
1.90 2.50 0.10374
1.90 2.60 0.14462
1.90 2.70 0.13493
1.90 2.80 0.12393
1.90 2.90 0.09670
1.90 3.00 0.10317

2.00 0.00 1.11496
2.00 0.10 0.96650
2.00 0.20 0.65512
2.00 0.30 0.76242
2.00 0.40 0.49300
2.00 0.50 0.48379
2.00 0.60 0.39555
2.00 0.70 0.38005
2.00 0.80 0.44182
2.00 0.90 0.33095
2.00 1.00 0.40579
2.00 1.10 0.49547
2.00 1.20 0.34470
2.00 1.30 0.25030
2.00 1.40 0.14401
2.00 1.50 0.17264
2.00 1.60 0.13071
2.00 1.70 0.13622
2.00 1.80 0.08502
2.00 1.90 0.09084
2.00 2.00 0.09865
2.00 2.10 0.14080
2.00 2.20 0.11230
2.00 2.30 0.11830
2.00 2.40 0.10697
2.00 2.50 0.11241
2.00 2.60 0.13191
2.00 2.70 0.08968
2.00 2.80 0.10626
2.00 2.90 0.12905
2.00 3.00 0.11722

2.10 0.00 0.91721
2.10 0.10 0.70871
2.10 0.20 0.59366
2.10 0.30 0.78075
2.10 0.40 0.60760
2.10 0.50 0.61258
2.10 0.60 0.43620
2.10 0.70 0.44650
2.10 0.80 0.42057
2.10 0.90 0.45883
2.10 1.00 0.40217
2.10 1.10 0.49426
2.10 1.20 0.47779
2.10 1.30 0.28517
2.10 1.40 0.22712
2.10 1.50 0.13963
2.10 1.60 0.11351
2.10 1.70 0.12368
2.10 1.80 0.10616
2.10 1.90 0.10915
2.10 2.00 0.07955
2.10 2.10 0.09982
2.10 2.20 0.11499
2.10 2.30 0.09569
2.10 2.40 0.12537
2.10 2.50 0.15154
2.10 2.60 0.10931
2.10 2.70 0.10336
2.10 2.80 0.11145
2.10 2.90 0.09208
2.10 3.00 0.09810

2.20 0.00 1.27911
2.20 0.10 0.99116
2.20 0.20 0.91893
2.20 0.30 0.82216
2.20 0.40 0.65019
2.20 0.50 0.51515
2.20 0.60 0.48287
2.20 0.70 0.40967
2.20 0.80 0.40897
2.20 0.90 0.35064
2.20 1.00 0.45031
2.20 1.10 0.39823
2.20 1.20 0.48990
2.20 1.30 0.28258
2.20 1.40 0.22169
2.20 1.50 0.17894
2.20 1.60 0.13628
2.20 1.70 0.10308
2.20 1.80 0.13764
2.20 1.90 0.12557
2.20 2.00 0.10739
2.20 2.10 0.10451
2.20 2.20 0.13495
2.20 2.30 0.11149
2.20 2.40 0.09950
2.20 2.50 0.10598
2.20 2.60 0.08592
2.20 2.70 0.09776
2.20 2.80 0.11888
2.20 2.90 0.09663
2.20 3.00 0.11002

2.30 0.00 1.11959
2.30 0.10 1.10893
2.30 0.20 0.61780
2.30 0.30 0.56944
2.30 0.40 0.50990
2.30 0.50 0.34983
2.30 0.60 0.49364
2.30 0.70 0.33593
2.30 0.80 0.53920
2.30 0.90 0.46862
2.30 1.00 0.33670
2.30 1.10 0.46496
2.30 1.20 0.63952
2.30 1.30 0.41183
2.30 1.40 0.21720
2.30 1.50 0.16838
2.30 1.60 0.11981
2.30 1.70 0.13466
2.30 1.80 0.13489
2.30 1.90 0.13802
2.30 2.00 0.08897
2.30 2.10 0.09659
2.30 2.20 0.08761
2.30 2.30 0.12395
2.30 2.40 0.10314
2.30 2.50 0.10206
2.30 2.60 0.08339
2.30 2.70 0.10670
2.30 2.80 0.11178
2.30 2.90 0.09067
2.30 3.00 0.11502

2.40 0.00 1.10571
2.40 0.10 0.80271
2.40 0.20 0.86028
2.40 0.30 0.72876
2.40 0.40 0.61549
2.40 0.50 0.56461
2.40 0.60 0.51285
2.40 0.70 0.47477
2.40 0.80 0.40085
2.40 0.90 0.43416
2.40 1.00 0.38676
2.40 1.10 0.44614
2.40 1.20 0.53405
2.40 1.30 0.32651
2.40 1.40 0.21424
2.40 1.50 0.22065
2.40 1.60 0.12274
2.40 1.70 0.14928
2.40 1.80 0.12768
2.40 1.90 0.11433
2.40 2.00 0.11300
2.40 2.10 0.10680
2.40 2.20 0.11769
2.40 2.30 0.10919
2.40 2.40 0.08574
2.40 2.50 0.10704
2.40 2.60 0.10741
2.40 2.70 0.09501
2.40 2.80 0.09167
2.40 2.90 0.11862
2.40 3.00 0.08643

2.50 0.00 0.87950
2.50 0.10 0.93868
2.50 0.20 0.73371
2.50 0.30 0.48474
2.50 0.40 0.91015
2.50 0.50 0.32635
2.50 0.60 0.45201
2.50 0.70 0.50378
2.50 0.80 0.48889
2.50 0.90 0.39050
2.50 1.00 0.48062
2.50 1.10 0.56830
2.50 1.20 0.54884
2.50 1.30 0.41647
2.50 1.40 0.17930
2.50 1.50 0.14637
2.50 1.60 0.18164
2.50 1.70 0.13103
2.50 1.80 0.14688
2.50 1.90 0.11411
2.50 2.00 0.15935
2.50 2.10 0.11098
2.50 2.20 0.10001
2.50 2.30 0.09632
2.50 2.40 0.13094
2.50 2.50 0.10958
2.50 2.60 0.10342
2.50 2.70 0.08852
2.50 2.80 0.13488
2.50 2.90 0.08399
2.50 3.00 0.13159

2.60 0.00 1.14617
2.60 0.10 0.94967
2.60 0.20 0.72920
2.60 0.30 0.83192
2.60 0.40 0.66473
2.60 0.50 0.56187
2.60 0.60 0.41024
2.60 0.70 0.36745
2.60 0.80 0.47123
2.60 0.90 0.53597
2.60 1.00 0.48541
2.60 1.10 0.53824
2.60 1.20 0.45807
2.60 1.30 0.38802
2.60 1.40 0.22087
2.60 1.50 0.23020
2.60 1.60 0.18194
2.60 1.70 0.19208
2.60 1.80 0.12925
2.60 1.90 0.12579
2.60 2.00 0.10985
2.60 2.10 0.13231
2.60 2.20 0.09834
2.60 2.30 0.10098
2.60 2.40 0.10489
2.60 2.50 0.13257
2.60 2.60 0.10295
2.60 2.70 0.08761
2.60 2.80 0.10517
2.60 2.90 0.09013
2.60 3.00 0.09861

2.70 0.00 1.12159
2.70 0.10 0.94483
