#S1	S2	MSE
1.10	0.90	1.6411250675e-01
1.10	1.00	3.1765911355e-02
1.10	1.10	NaN
1.10	1.20	1.0477450853e-02
1.10	1.30	2.6203023286e-02
1.10	1.40	4.0660532736e-02
1.10	1.50	5.2830629485e-02
1.10	1.60	6.2714592872e-02
1.10	1.70	7.0562331026e-02
1.10	1.80	7.6678053755e-02
1.10	1.90	8.1360705944e-02
1.10	2.00	8.4883448661e-02
1.10	2.10	8.7486385319e-02
1.10	2.20	8.9374599033e-02
1.10	2.30	9.0718812323e-02
1.10	2.40	9.1657614936e-02
1.10	2.50	9.2300704048e-02
1.10	2.60	9.2732722273e-02
1.10	2.70	9.3017330327e-02
1.10	2.80	9.3201202840e-02
1.10	2.90	9.3317707695e-02
1.10	3.00	9.3390114205e-02
1.20	0.00	1.0000000000e+00
1.20	0.10	5.0830656622e-01
1.20	0.20	4.0129551435e-01
1.20	0.30	3.1418429812e-01
1.20	0.40	2.4695434345e-01
1.20	0.50	1.9955226404e-01
1.20	0.60	1.7185124050e-01
1.20	0.70	1.6352628239e-01
1.20	0.80	1.7352084039e-01
1.20	0.90	1.9603370426e-01
1.20	1.00	1.3464607445e-01
1.20	1.10	2.0422455746e-02
1.20	1.20	NaN
1.20	1.30	8.1729763065e-03
1.20	1.40	2.1428625091e-02
1.20	1.50	3.4195392551e-02
1.20	1.60	4.5270502134e-02
1.20	1.70	5.4469438569e-02
1.20	1.80	6.1911478067e-02
1.20	1.90	6.7810809153e-02
1.20	2.00	7.2403070138e-02
1.20	2.10	7.5916106214e-02
1.20	2.20	7.8557462316e-02
1.20	2.30	8.0509154838e-02
1.20	2.40	8.1926112017e-02
1.20	2.50	8.2936731179e-02
1.20	2.60	8.3644755185e-02
1.20	2.70	8.4131955418e-02
1.20	2.80	8.4461231854e-02
1.20	2.90	8.4679818808e-02
1.20	3.00	8.4822357466e-02
1.30	0.00	1.0000000000e+00
1.30	0.10	5.5688788395e-01
1.30	0.20	4.4565185242e-01
1.30	0.30	3.5432077853e-01
1.30	0.40	2.8287888664e-01
1.30	0.50	2.3128172511e-01
1.30	0.60	1.9942846123e-01
1.30	0.70	1.8708062826e-01
1.30	0.80	1.9356685975e-01
1.30	0.90	2.1618597830e-01
1.30	1.00	2.2982309454e-01
1.30	1.10	8.0319202681e-02
1.30	1.20	1.3729935603e-02
1.30	1.30	NaN
1.30	1.40	6.3260917592e-03
1.30	1.50	1.7271285449e-02
1.30	1.60	2.8255699013e-02
1.30	1.70	3.8046071760e-02
1.30	1.80	4.6341911977e-02
1.30	1.90	5.3163013957e-02
1.30	2.00	5.8647707331e-02
1.30	2.10	6.2974545689e-02
1.30	2.20	6.6328223443e-02
1.30	2.30	6.8883608264e-02
1.30	2.40	7.0798142667e-02
1.30	2.50	7.2208594995e-02
1.30	2.60	7.3230320389e-02
1.30	2.70	7.3958069702e-02
1.30	2.80	7.4467755662e-02
1.30	2.90	7.4818759821e-02
1.30	3.00	7.5056465821e-02
1.40	0.00	1.0000000000e+00
1.40	0.10	6.0113306871e-01
1.40	0.20	4.8635697970e-01
1.40	0.30	3.9149000713e-01
1.40	0.40	3.1651834207e-01
1.40	0.50	2.6140366927e-01
1.40	0.60	2.2606197845e-01
1.40	0.70	2.1030563774e-01
1.40	0.80	2.1365520074e-01
1.40	0.90	2.3450802933e-01
1.40	1.00	2.6348686123e-01
1.40	1.10	1.7580178897e-01
1.40	1.20	5.1479809822e-02
1.40	1.30	9.5114862994e-03
1.40	1.40	NaN
1.40	1.50	4.8700127430e-03
1.40	1.60	1.3759389187e-02
1.40	1.70	2.3006371717e-02
1.40	1.80	3.1448298920e-02
1.40	1.90	3.8728345806e-02
1.40	2.00	4.4798281758e-02
1.40	2.10	4.9737282318e-02
1.40	2.20	5.3675749028e-02
1.40	2.30	5.6759839505e-02
1.40	2.40	5.9133796369e-02
1.40	2.50	6.0930929910e-02
1.40	2.60	6.2269246308e-02
1.40	2.70	6.3249791666e-02
1.40	2.80	6.3956674087e-02
1.40	2.90	6.4458131110e-02
1.40	3.00	6.4808211176e-02
1.50	0.00	1.0000000000e+00
1.50	0.10	6.4083746255e-01
1.50	0.20	5.2311997659e-01
1.50	0.30	4.2531500403e-01
1.50	0.40	3.4741015917e-01
1.50	0.50	2.8937149682e-01
1.50	0.60	2.5112647260e-01
1.50	0.70	2.3251974859e-01
1.50	0.80	2.3318075690e-01
1.50	0.90	2.5201300993e-01
1.50	1.00	2.8410039337e-01
1.50	1.10	2.7465171744e-01
1.50	1.20	1.0760737167e-01
1.50	1.30	3.4600776087e-02
1.50	1.40	6.7296846736e-03
1.50	1.50	NaN
1.50	1.60	3.7342658246e-03
1.50	1.70	1.0857898680e-02
1.50	1.80	1.8499840384e-02
1.50	1.90	2.5623905780e-02
1.50	2.00	3.1861743538e-02
1.50	2.10	3.7124623793e-02
1.50	2.20	4.1448988672e-02
1.50	2.30	4.4926913794e-02
1.50	2.40	4.7671871364e-02
1.50	2.50	4.9800838973e-02
1.50	2.60	5.1424727361e-02
1.50	2.70	5.2643419546e-02
1.50	2.80	5.3543554192e-02
1.50	2.90	5.4198017668e-02
1.50	3.00	5.4666507754e-02
1.60	0.00	1.0000000000e+00
1.60	0.10	6.7597309358e-01
1.60	0.20	5.5583225032e-01
1.60	0.30	4.5560670385e-01
1.60	0.40	3.7528512243e-01
1.60	0.50	3.1483675921e-01
1.60	0.60	2.7419718656e-01
1.60	0.70	2.5323275614e-01
1.60	0.80	2.5164030494e-01
1.60	0.90	2.6859597376e-01
1.60	1.00	3.0097811275e-01
1.60	1.10	3.2481554858e-01
1.60	1.20	1.7609487295e-01
1.60	1.30	7.0296297301e-02
1.60	1.40	2.3985411455e-02
1.60	1.50	4.8346504295e-03
1.60	1.60	NaN
1.60	1.70	2.8545225337e-03
1.60	1.80	8.5001923503e-03
1.60	1.90	1.4716513090e-02
1.60	2.00	2.0616215638e-02
1.60	2.10	2.5849249225e-02
1.60	2.20	3.0307977886e-02
1.60	2.30	3.4000444353e-02
1.60	2.40	3.6989770874e-02
1.60	2.50	3.9362852349e-02
1.60	2.60	4.1213337215e-02
1.60	2.70	4.2632191459e-02
1.60	2.80	4.3702597740e-02
1.60	2.90	4.4497484473e-02
1.60	3.00	4.5078708820e-02
1.70	0.00	1.0000000000e+00
1.70	0.10	7.0665461395e-01
1.70	0.20	5.8453421948e-01
1.70	0.30	4.8233140462e-01
1.70	0.40	4.0003563233e-01
1.70	0.50	3.3761854519e-01
1.70	0.60	2.9502162527e-01
1.70	0.70	2.7212639470e-01
1.70	0.80	2.6867406671e-01
1.70	0.90	2.8400344142e-01
1.70	1.00	3.1587943298e-01
1.70	1.10	3.5108242675e-01
1.70	1.20	2.5086445013e-01
1.70	1.30	1.1209647537e-01
1.70	1.40	4.7830216115e-02
1.70	1.50	1.6981205507e-02
1.70	1.60	3.5120443801e-03
1.70	1.70	NaN
1.70	1.80	2.1761733197e-03
1.70	1.90	6.6084942740e-03
1.70	2.00	1.1595917553e-02
1.70	2.10	1.6400825328e-02
1.70	2.20	2.0708643562e-02
1.70	2.30	2.4408186739e-02
1.70	2.40	2.7490509717e-02
1.70	2.50	2.9997889882e-02
1.70	2.60	3.1996335835e-02
1.70	2.70	3.3560134316e-02
1.70	2.80	3.4763039301e-02
1.70	2.90	3.5673370318e-02
1.70	3.00	3.6351527522e-02
1.80	0.00	1.0000000000e+00
1.80	0.10	7.3310619339e-01
1.80	0.20	6.0938266948e-01
1.80	0.30	5.0557859595e-01
1.80	0.40	4.2168404328e-01
1.80	0.50	3.5767246671e-01
1.80	0.60	3.1348974153e-01
1.80	0.70	2.8902832199e-01
1.80	0.80	2.8405996357e-01
1.80	0.90	2.9802762770e-01
1.80	1.00	3.2919486680e-01
1.80	1.10	3.6893509838e-01
1.80	1.20	3.2196205627e-01
1.80	1.30	1.5620584500e-01
1.80	1.40	7.5021672651e-02
1.80	1.50	3.3423174276e-02
1.80	1.60	1.2201069572e-02
1.80	1.70	2.5717704306e-03
1.80	1.80	NaN
1.80	1.90	1.6547230058e-03
1.80	2.00	5.1057165621e-03
1.80	2.10	9.0585145264e-03
1.80	2.20	1.2913580839e-02
1.80	2.30	1.6399533899e-02
1.80	2.40	1.9411472098e-02
1.80	2.50	2.1931839030e-02
1.80	2.60	2.3988568298e-02
1.80	2.70	2.5631681287e-02
1.80	2.80	2.6919754610e-02
1.80	2.90	2.7912032177e-02
1.80	3.00	2.8663949694e-02
1.90	0.00	1.0000000000e+00
1.90	0.10	7.5563063317e-01
1.90	0.20	6.3062006907e-01
1.90	0.30	5.2553048499e-01
1.90	0.40	4.4035242055e-01
1.90	0.50	3.7506072141e-01
1.90	0.60	3.2960457857e-01
1.90	0.70	3.0388449835e-01
1.90	0.80	2.9769394976e-01
1.90	0.90	3.1054604581e-01
1.90	1.00	3.4101033233e-01
1.90	1.10	3.8278810088e-01
1.90	1.20	3.7461456855e-01
1.90	1.30	1.9967872861e-01
1.90	1.40	1.0305454504e-01
1.90	1.50	5.1826853131e-02
1.90	1.60	2.3782131825e-02
1.90	1.70	8.8576965453e-03
1.90	1.80	1.8937627956e-03
1.90	1.90	NaN
1.90	2.00	1.2547902116e-03
1.90	2.10	3.9215079639e-03
1.90	2.20	7.0197488172e-03
1.90	2.30	1.0070765813e-02
1.90	2.40	1.2847697112e-02
1.90	2.50	1.5257391663e-02
1.90	2.60	1.7279350975e-02
1.90	2.70	1.8932050740e-02
1.90	2.80	2.0253497382e-02
1.90	2.90	2.1289716036e-02
1.90	3.00	2.2087926097e-02
2.00	0.00	1.0000000000e+00
2.00	0.10	7.7458164914e-01
2.00	0.20	6.4854682943e-01
2.00	0.30	5.4243423604e-01
2.00	0.40	4.5623477352e-01
2.00	0.50	3.8992436204e-01
2.00	0.60	3.4345472189e-01
2.00	0.70	3.1673238429e-01
2.00	0.80	3.0956662360e-01
2.00	0.90	3.2151955353e-01
2.00	1.00	3.5136028999e-01
2.00	1.10	3.9411661970e-01
2.00	1.20	4.0826147532e-01
2.00	1.30	2.4044157480e-01
2.00	1.40	1.3013457723e-01
2.00	1.50	7.0491906643e-02
2.00	1.60	3.6564475104e-02
2.00	1.70	1.7133591388e-02
2.00	1.80	6.4762818763e-03
2.00	1.90	1.3995245259e-03
2.00	2.00	NaN
2.00	2.10	9.4864807113e-04
2.00	2.20	2.9947180058e-03
2.00	2.30	5.3983209177e-03
2.00	2.40	7.7826241847e-03
2.00	2.50	9.9627318118e-03
2.00	2.60	1.1859557361e-02
2.00	2.70	1.3453150338e-02
2.00	2.80	1.4755990206e-02
2.00	2.90	1.5797141852e-02
2.00	3.00	1.6612694028e-02
2.10	0.00	1.0000000000e+00
